epoch,batch,batch_time(s),phase
0,0,26.48259997367859,0
0,1,25.93114972114563,0
0,2,24.912282943725586,0
0,3,26.29537343978882,0
0,4,25.356778860092163,0
0,5,25.845550298690796,0
0,6,25.69310426712036,0
0,7,26.083945274353027,0
0,8,25.85968542098999,0
0,9,26.386253118515015,0
0,10,26.39329171180725,0
0,11,26.596206665039062,0
0,12,25.868428945541382,0
0,13,25.648637771606445,0
0,14,26.740803241729736,0
0,15,25.245023727416992,0
0,16,25.6645188331604,0
0,17,25.632498264312744,0
0,18,25.864482879638672,0
0,19,25.98130178451538,0
0,20,26.420889139175415,0
0,21,25.75809931755066,0
0,22,26.34631657600403,0
0,23,25.851118564605713,0
0,24,25.722105264663696,0
0,25,26.462738275527954,0
0,26,25.9778048992157,0
0,27,25.337326526641846,0
0,28,26.379748582839966,0
0,29,25.917325019836426,0
0,30,26.13370180130005,0
0,31,25.801616430282593,0
0,32,26.210094451904297,0
0,33,25.457417249679565,0
0,34,25.35599422454834,0
0,35,26.252437829971313,0
0,36,26.699658632278442,0
0,37,26.02721357345581,0
0,38,25.371100664138794,0
0,39,26.499446630477905,0
0,40,25.149668216705322,0
0,41,25.426193237304688,0
0,42,25.58621311187744,0
0,43,25.995386362075806,0
0,44,25.553518533706665,0
0,45,25.79297709465027,0
0,46,25.83465337753296,0
0,47,25.257806062698364,0
0,48,25.665323734283447,0
0,49,24.93650484085083,0
0,0,7.91707444190979,1
0,1,7.652297496795654,1
0,2,7.6941657066345215,1
0,3,7.542352914810181,1
0,4,7.697893381118774,1
0,5,7.555114030838013,1
0,6,7.6674487590789795,1
0,7,7.560969114303589,1
0,8,7.658605337142944,1
0,9,7.534712553024292,1
1,0,25.144816398620605,0
1,1,26.11018991470337,0
1,2,25.847443342208862,0
1,3,26.11596417427063,0
1,4,25.715991020202637,0
1,5,25.443503379821777,0
1,6,25.609947681427002,0
1,7,25.685854196548462,0
1,8,26.2324116230011,0
1,9,25.71052575111389,0
1,10,26.2113037109375,0
1,11,26.002841472625732,0
1,12,25.653475522994995,0
1,13,25.436514616012573,0
1,14,26.828745126724243,0
1,15,25.630531072616577,0
1,16,25.972785472869873,0
1,17,25.741210460662842,0
1,18,26.17629599571228,0
1,19,25.07432723045349,0
1,20,25.861204624176025,0
1,21,25.975279569625854,0
1,22,25.50425696372986,0
1,23,25.343544006347656,0
1,24,25.916181564331055,0
1,25,26.058968782424927,0
1,26,26.225465774536133,0
1,27,25.712488412857056,0
1,28,26.11776065826416,0
1,29,25.434434413909912,0
1,30,25.684292554855347,0
1,31,25.98860192298889,0
1,32,25.614996194839478,0
1,33,24.772725105285645,0
1,34,26.011329889297485,0
1,35,25.279840230941772,0
1,36,24.76172947883606,0
1,37,25.345545768737793,0
1,38,25.94494915008545,0
1,39,25.046011686325073,0
1,40,26.02358317375183,0
1,41,26.169641256332397,0
1,42,25.59418511390686,0
1,43,24.814461708068848,0
1,44,25.449086666107178,0
1,45,25.64728045463562,0
1,46,25.746910572052002,0
1,47,24.47152805328369,0
1,48,25.57390260696411,0
1,49,25.742339849472046,0
1,0,7.901179790496826,1
1,1,7.618422746658325,1
1,2,7.724984407424927,1
1,3,7.576751708984375,1
1,4,7.728107452392578,1
1,5,7.560842514038086,1
1,6,7.699808597564697,1
1,7,7.543712377548218,1
1,8,7.704463481903076,1
1,9,7.544637680053711,1
