epoch,batch,batch_time(s),loss,phase
0,0,19.20128893852234,948.533935546875,0
0,1,19.13737988471985,637.940673828125,0
0,2,19.04531979560852,416.91033935546875,0
0,3,19.039977550506592,323.8681335449219,0
0,4,19.057523727416992,252.14210510253906,0
0,5,18.995708227157593,214.47988891601562,0
0,6,18.975894927978516,187.4177703857422,0
0,7,18.99774932861328,168.65536499023438,0
0,8,18.996442317962646,152.99070739746094,0
0,9,19.05581021308899,139.9796905517578,0
0,10,18.915160655975342,130.917724609375,0
0,11,19.044944524765015,120.47100830078125,0
0,12,18.941057205200195,111.58385467529297,0
0,13,18.974486351013184,109.43718719482422,0
0,14,18.902186632156372,100.5001220703125,0
0,15,19.01363730430603,96.47267150878906,0
0,16,18.92382574081421,87.36592864990234,0
0,17,18.996615886688232,86.5026626586914,0
0,18,18.985045909881592,80.83757781982422,0
0,19,19.029701948165894,71.49351501464844,0
0,20,18.992563009262085,67.17031860351562,0
0,21,19.01242971420288,65.84748077392578,0
0,22,18.997620105743408,53.616004943847656,0
0,23,19.010056018829346,52.51253890991211,0
0,24,18.971185207366943,46.89580154418945,0
0,0,7.157501220703125,46.89208984375,1
0,1,7.710608243942261,45.037933349609375,1
0,2,7.1463704109191895,45.48320388793945,1
0,3,7.118352651596069,44.140342712402344,1
0,4,7.210649251937866,46.00725555419922,1
1,0,19.198755025863647,41.064727783203125,0
1,1,19.012125968933105,37.730323791503906,0
1,2,18.939016103744507,33.34711456298828,0
1,3,19.028176069259644,31.203144073486328,0
1,4,18.877075672149658,27.261075973510742,0
1,5,18.96310257911682,27.42400550842285,0
1,6,18.973549604415894,25.709861755371094,0
1,7,18.991145372390747,23.013601303100586,0
1,8,18.982862949371338,21.10750389099121,0
1,9,18.921176433563232,19.410520553588867,0
1,10,18.97357988357544,20.17523193359375,0
1,11,18.981945514678955,19.880884170532227,0
1,12,18.92514991760254,17.764190673828125,0
1,13,19.00088095664978,15.806556701660156,0
1,14,19.02128267288208,15.997164726257324,0
1,15,18.954997777938843,16.98219871520996,0
1,16,18.92368984222412,16.412565231323242,0
1,17,18.988768100738525,14.731121063232422,0
1,18,18.910675764083862,14.740192413330078,0
1,19,18.92543339729309,13.192131996154785,0
1,20,18.92655062675476,12.353127479553223,0
1,21,18.981110334396362,10.933550834655762,0
1,22,18.945513486862183,11.101862907409668,0
1,23,18.903618335723877,10.77290153503418,0
1,24,19.045762538909912,11.55070972442627,0
1,0,7.144020080566406,10.823369979858398,1
1,1,7.144955158233643,11.081210136413574,1
1,2,7.163914918899536,10.799155235290527,1
1,3,7.183356285095215,10.659699440002441,1
1,4,7.125068664550781,10.79002571105957,1
