epoch,batch,batch_time(s),phase
0,0,19.761317491531372,0
0,1,19.27492094039917,0
0,2,19.196446657180786,0
0,3,19.184064865112305,0
0,4,19.182042121887207,0
0,5,19.086477756500244,0
0,6,19.142107486724854,0
0,7,19.192824840545654,0
0,8,19.169217109680176,0
0,9,19.18047547340393,0
0,10,19.084376573562622,0
0,11,19.18213963508606,0
0,12,19.132684469223022,0
0,13,19.152276754379272,0
0,14,19.092572689056396,0
0,15,19.165393829345703,0
0,16,19.161612272262573,0
0,17,19.387500047683716,0
0,18,19.079614639282227,0
0,19,19.03280258178711,0
0,20,18.964117527008057,0
0,21,18.99398922920227,0
0,22,18.8915913105011,0
0,23,18.967427730560303,0
0,24,18.916218280792236,0
0,0,7.461670160293579,1
0,1,7.240026235580444,1
0,2,7.3109540939331055,1
0,3,7.241564035415649,1
0,4,7.285508632659912,1
1,0,20.323182582855225,0
1,1,19.00687575340271,0
1,2,19.061282634735107,0
1,3,18.9632248878479,0
1,4,19.03947615623474,0
1,5,18.99797534942627,0
1,6,19.042770385742188,0
1,7,18.998122692108154,0
1,8,19.011650800704956,0
1,9,19.095166444778442,0
1,10,19.023496389389038,0
1,11,19.01207685470581,0
1,12,19.016489267349243,0
1,13,19.11487889289856,0
1,14,19.018107652664185,0
1,15,18.986393451690674,0
1,16,19.011166095733643,0
1,17,19.075380563735962,0
1,18,19.474721908569336,0
1,19,19.41819715499878,0
1,20,19.316619396209717,0
1,21,19.144367933273315,0
1,22,19.304141521453857,0
1,23,19.217814922332764,0
1,24,19.25791907310486,0
1,0,7.645572185516357,1
1,1,7.228425979614258,1
1,2,7.318676710128784,1
1,3,7.238018274307251,1
1,4,7.298784017562866,1
2,0,20.772401332855225,0
2,1,19.253166913986206,0
2,2,19.18295955657959,0
2,3,19.25227999687195,0
2,4,19.365384578704834,0
2,5,19.15866732597351,0
2,6,19.202518463134766,0
2,7,19.204044580459595,0
2,8,19.331045389175415,0
2,9,19.173205614089966,0
2,10,19.29252600669861,0
2,11,19.2181236743927,0
2,12,19.18202257156372,0
2,13,19.174834489822388,0
2,14,19.19004535675049,0
2,15,19.183449506759644,0
2,16,19.25192403793335,0
2,17,19.165668725967407,0
2,18,19.257187366485596,0
2,19,19.0320303440094,0
2,20,19.35345482826233,0
2,21,19.168041467666626,0
2,22,19.185681343078613,0
2,23,19.22571110725403,0
2,24,19.202993392944336,0
2,0,7.656915903091431,1
2,1,7.274125337600708,1
2,2,7.293306827545166,1
2,3,7.268036365509033,1
2,4,7.304605960845947,1
3,0,19.258886575698853,0
3,1,19.213208198547363,0
3,2,19.24301242828369,0
3,3,19.125229120254517,0
3,4,19.239586114883423,0
3,5,19.186039447784424,0
3,6,19.322301626205444,0
3,7,19.146944761276245,0
3,8,19.264200925827026,0
3,9,19.17165994644165,0
3,10,19.299675464630127,0
3,11,19.076456546783447,0
3,12,19.21639060974121,0
3,13,19.134581089019775,0
3,14,19.257635354995728,0
3,15,19.213153839111328,0
3,16,19.216269731521606,0
3,17,19.3351731300354,0
3,18,19.244176387786865,0
3,19,19.090023279190063,0
3,20,19.041850566864014,0
3,21,18.996981143951416,0
3,22,19.02970242500305,0
3,23,19.029844284057617,0
3,24,19.040642976760864,0
3,0,7.549334526062012,1
3,1,7.278407096862793,1
3,2,7.312135934829712,1
3,3,7.250476837158203,1
3,4,7.306380748748779,1
