epoch,batch,batch_time(s),phase
0,0,20.134151458740234,0
0,1,26.309698581695557,0
0,2,25.062076091766357,0
0,3,26.271365642547607,0
0,4,26.35345220565796,0
0,5,26.13726568222046,0
0,6,25.513567447662354,0
0,7,25.839094877243042,0
0,8,26.09675645828247,0
0,9,25.997541427612305,0
0,10,26.21728777885437,0
0,11,25.483588695526123,0
0,12,26.34965205192566,0
0,13,25.932767152786255,0
0,14,25.41484546661377,0
0,15,26.183284997940063,0
0,16,26.314695119857788,0
0,17,25.762641429901123,0
0,18,26.757076501846313,0
0,19,25.679481029510498,0
0,20,26.01363968849182,0
0,21,26.151397705078125,0
0,22,25.577868223190308,0
0,23,25.678746938705444,0
0,24,26.210299968719482,0
0,0,14.030520677566528,1
0,1,7.5335373878479,1
0,2,7.46399188041687,1
0,3,7.369300842285156,1
0,4,7.429615020751953,1
1,0,21.87857985496521,0
1,1,25.553140878677368,0
1,2,25.388033151626587,0
1,3,26.009238719940186,0
1,4,25.869032859802246,0
1,5,24.997599124908447,0
1,6,25.525901556015015,0
1,7,25.91782832145691,0
1,8,26.17048716545105,0
1,9,25.527849197387695,0
1,10,26.317620277404785,0
1,11,25.07480239868164,0
1,12,25.56847596168518,0
1,13,26.346659898757935,0
1,14,25.920892477035522,0
1,15,26.080983877182007,0
1,16,26.8554584980011,0
1,17,26.042978763580322,0
1,18,25.900845050811768,0
1,19,25.81635069847107,0
1,20,25.477129697799683,0
1,21,25.831716060638428,0
1,22,25.784661531448364,0
1,23,25.580219268798828,0
1,24,26.480342864990234,0
1,0,13.66752004623413,1
1,1,7.6529107093811035,1
1,2,7.432552814483643,1
1,3,7.524883985519409,1
1,4,7.4101574420928955,1
2,0,19.85040545463562,0
2,1,25.123728036880493,0
2,2,26.033860445022583,0
2,3,26.172931909561157,0
2,4,26.673908233642578,0
2,5,26.29218077659607,0
2,6,25.855790853500366,0
2,7,26.06930160522461,0
2,8,25.274268865585327,0
2,9,26.372230291366577,0
2,10,26.809001445770264,0
2,11,25.94273352622986,0
2,12,26.181212425231934,0
2,13,26.62806534767151,0
2,14,25.690004587173462,0
2,15,25.608071327209473,0
2,16,25.959009170532227,0
2,17,26.048216104507446,0
2,18,25.700075149536133,0
2,19,26.124445915222168,0
2,20,25.383191347122192,0
2,21,26.03974437713623,0
2,22,25.9406898021698,0
2,23,25.94169807434082,0
2,24,26.390183210372925,0
2,0,14.133394241333008,1
2,1,7.880914688110352,1
2,2,7.488619089126587,1
2,3,7.453959226608276,1
2,4,7.474233388900757,1
3,0,19.79161047935486,0
3,1,25.671257972717285,0
3,2,25.688060522079468,0
3,3,25.794156789779663,0
3,4,25.865575790405273,0
3,5,25.75555396080017,0
3,6,25.54877543449402,0
3,7,25.924035787582397,0
3,8,25.944437980651855,0
3,9,25.37976312637329,0
3,10,26.545907258987427,0
3,11,26.23482894897461,0
3,12,25.53630828857422,0
3,13,26.551437854766846,0
3,14,25.7321515083313,0
3,15,25.87438988685608,0
3,16,26.478152990341187,0
3,17,25.454442024230957,0
3,18,25.996061086654663,0
3,19,25.587655782699585,0
3,20,25.622209787368774,0
3,21,25.884509801864624,0
3,22,25.991713523864746,0
3,23,25.894778728485107,0
3,24,26.25932025909424,0
3,0,13.755391836166382,1
3,1,7.562922477722168,1
3,2,8.747174978256226,1
3,3,7.635521173477173,1
3,4,7.864234685897827,1
