epoch,batch,batch_time(s),phase
0,0,19.797801971435547,0
0,1,19.29675579071045,0
0,2,19.19633674621582,0
0,3,19.19880509376526,0
0,4,19.172418355941772,0
0,5,19.083998918533325,0
0,6,19.145830869674683,0
0,7,19.20347785949707,0
0,8,19.149955987930298,0
0,9,19.18316102027893,0
0,10,19.09304690361023,0
0,11,19.165838956832886,0
0,12,19.138639211654663,0
0,13,19.152767181396484,0
0,14,19.091569900512695,0
0,15,19.161177158355713,0
0,16,19.172475814819336,0
0,17,19.400226593017578,0
0,18,19.08882784843445,0
0,19,19.0321307182312,0
0,20,18.953936100006104,0
0,21,19.008700370788574,0
0,22,18.890743494033813,0
0,23,18.958438634872437,0
0,24,18.921933889389038,0
0,0,7.429992198944092,1
0,1,7.670727014541626,1
0,2,7.304739952087402,1
0,3,8.034951210021973,1
0,4,7.474339008331299,1
1,0,18.927130937576294,0
1,1,19.020617961883545,0
1,2,19.061776161193848,0
1,3,18.978686809539795,0
1,4,19.036015510559082,0
1,5,19.009549856185913,0
1,6,19.04192304611206,0
1,7,18.995218992233276,0
1,8,19.004568576812744,0
1,9,19.106258869171143,0
1,10,19.02647352218628,0
1,11,19.014273405075073,0
1,12,19.016581773757935,0
1,13,19.11610984802246,0
1,14,19.038004159927368,0
1,15,18.985914707183838,0
1,16,19.010159492492676,0
1,17,19.062709093093872,0
1,18,19.457938194274902,0
1,19,19.4379825592041,0
1,20,19.332913160324097,0
1,21,19.145076274871826,0
1,22,19.31728219985962,0
1,23,19.225981950759888,0
1,24,19.25192952156067,0
1,0,7.66625452041626,1
1,1,7.292613744735718,1
1,2,7.998880386352539,1
1,3,7.456469535827637,1
1,4,7.981261491775513,1
2,0,19.076847314834595,0
2,1,19.26213049888611,0
2,2,19.168787240982056,0
2,3,19.252083778381348,0
2,4,19.369315147399902,0
2,5,19.14487910270691,0
2,6,19.199392080307007,0
2,7,19.218411922454834,0
2,8,19.322171926498413,0
2,9,19.171220779418945,0
2,10,19.291035413742065,0
2,11,19.22432827949524,0
2,12,19.175302505493164,0
2,13,19.160115718841553,0
2,14,19.191819190979004,0
2,15,19.178781986236572,0
2,16,19.25491952896118,0
2,17,19.158751487731934,0
2,18,19.253796815872192,0
2,19,19.029732704162598,0
2,20,19.35209584236145,0
2,21,19.173336267471313,0
2,22,19.184223175048828,0
2,23,19.223901510238647,0
2,24,19.20061159133911,0
2,0,7.728663206100464,1
2,1,7.306720018386841,1
2,2,7.37243390083313,1
2,3,7.307464122772217,1
2,4,7.364728212356567,1
3,0,18.97098970413208,0
3,1,19.221379280090332,0
3,2,19.231086254119873,0
3,3,19.134221076965332,0
3,4,19.24572730064392,0
3,5,19.1871178150177,0
3,6,19.30238437652588,0
3,7,19.153977870941162,0
3,8,19.27426052093506,0
3,9,19.169594287872314,0
3,10,19.32220768928528,0
3,11,19.071996450424194,0
3,12,19.21987295150757,0
3,13,19.14276099205017,0
3,14,19.255249500274658,0
3,15,19.211508989334106,0
3,16,19.212162971496582,0
3,17,19.330333709716797,0
3,18,19.244053840637207,0
3,19,19.07583713531494,0
3,20,19.0464928150177,0
3,21,18.994109392166138,0
3,22,19.011597633361816,0
3,23,19.031931400299072,0
3,24,19.04145646095276,0
3,0,7.573517322540283,1
3,1,7.254483938217163,1
3,2,7.322157382965088,1
3,3,7.279401540756226,1
3,4,7.335022926330566,1
