epoch,batch,batch_time(s),loss,phase
0,0,37.081599950790405,817.6552124023438,0
0,1,36.59861755371094,459.7523498535156,0
0,2,36.676883935928345,442.46484375,0
0,3,36.485888719558716,359.5993347167969,0
0,4,36.76541829109192,266.067138671875,0
0,5,36.799360036849976,219.7191162109375,0
0,6,36.59310579299927,202.9434814453125,0
0,7,36.66610407829285,188.6630096435547,0
0,8,36.477588176727295,165.3897247314453,0
0,9,36.694358825683594,146.77593994140625,0
0,10,36.68781065940857,139.0626220703125,0
0,11,36.81873393058777,123.33153533935547,0
0,12,36.6371865272522,106.20214080810547,0
0,13,36.762141942977905,92.66136169433594,0
0,14,37.37776160240173,87.24996185302734,0
0,15,36.83188581466675,71.65948486328125,0
0,16,36.57195544242859,63.16793441772461,0
0,17,36.80181694030762,61.269779205322266,0
0,18,36.74803638458252,52.60762405395508,0
0,19,36.666202783584595,54.67459487915039,0
0,20,36.81988787651062,50.58964157104492,0
0,21,36.865257024765015,48.49360656738281,0
0,22,36.98006248474121,41.19390106201172,0
0,23,36.76423120498657,32.0101318359375,0
0,24,37.00768995285034,33.22364044189453,0
0,25,36.6353178024292,32.852535247802734,0
0,26,36.85249400138855,30.555192947387695,0
0,27,36.71288847923279,26.577560424804688,0
0,28,36.90226459503174,27.534954071044922,0
0,29,38.011619567871094,24.398555755615234,0
0,30,36.97647953033447,28.180782318115234,0
0,31,36.3493926525116,21.90874481201172,0
0,32,36.62547421455383,22.071523666381836,0
0,33,36.203490018844604,16.853900909423828,0
0,34,36.60898399353027,17.208492279052734,0
0,35,36.774847984313965,16.30760955810547,0
0,36,36.61044001579285,13.420974731445312,0
0,37,36.292465925216675,12.826979637145996,0
0,38,37.368295431137085,10.464761734008789,0
0,39,36.921494245529175,10.966733932495117,0
0,40,36.87687015533447,9.899910926818848,0
0,41,36.743794679641724,8.246216773986816,0
0,42,36.88291049003601,10.1660795211792,0
0,43,37.139875411987305,7.070303440093994,0
0,44,36.94414448738098,8.741737365722656,0
0,45,37.191322565078735,8.963218688964844,0
0,46,36.73787045478821,10.14421558380127,0
0,47,37.05671238899231,8.480484008789062,0
0,48,36.85407257080078,10.095660209655762,0
0,49,37.01293468475342,6.496420860290527,0
0,0,13.573038816452026,11.451601028442383,1
0,1,13.424562692642212,12.69633960723877,1
0,2,13.435084342956543,11.816102027893066,1
0,3,13.444345474243164,11.56462574005127,1
0,4,13.46832799911499,11.503809928894043,1
0,5,13.476834774017334,10.817916870117188,1
0,6,13.448164463043213,11.764739990234375,1
0,7,13.457400560379028,11.418911933898926,1
0,8,13.473044872283936,11.26294231414795,1
0,9,13.461979389190674,12.868223190307617,1
1,0,36.50740647315979,6.458642959594727,0
1,1,36.68838953971863,6.515682220458984,0
1,2,36.66794800758362,7.633749008178711,0
1,3,36.823415994644165,7.303847312927246,0
1,4,36.60663914680481,6.842942714691162,0
1,5,36.91834115982056,6.1275410652160645,0
1,6,36.7628128528595,6.130832195281982,0
1,7,36.827871799468994,6.8624491691589355,0
1,8,36.84514904022217,5.788137435913086,0
1,9,36.86984705924988,6.011358737945557,0
1,10,36.77476167678833,5.447358131408691,0
1,11,36.95938467979431,5.174165725708008,0
1,12,36.607640743255615,4.839279651641846,0
1,13,36.92914628982544,4.733156681060791,0
1,14,36.63891816139221,4.537317276000977,0
1,15,36.86965370178223,3.9323315620422363,0
1,16,36.76039981842041,4.413635730743408,0
1,17,36.858259439468384,3.609545946121216,0
1,18,36.73024606704712,4.177246570587158,0
1,19,36.83601665496826,4.467773914337158,0
1,20,36.662330627441406,4.251087665557861,0
1,21,36.7350058555603,3.937964916229248,0
1,22,37.033958435058594,3.9084579944610596,0
1,23,36.733065605163574,4.138542175292969,0
1,24,37.164891719818115,3.9211719036102295,0
1,25,36.98643517494202,4.023283958435059,0
1,26,36.87483239173889,3.7413575649261475,0
1,27,37.1213858127594,3.8436899185180664,0
1,28,36.87974309921265,3.674287796020508,0
1,29,36.80334115028381,3.8791873455047607,0
1,30,37.83969020843506,3.6028101444244385,0
1,31,36.843640089035034,3.363617420196533,0
1,32,36.7205753326416,2.966940402984619,0
1,33,36.79281711578369,3.3576700687408447,0
1,34,36.71947717666626,3.855461835861206,0
1,35,36.81130313873291,3.6319174766540527,0
1,36,36.52942156791687,3.1342852115631104,0
1,37,36.882840394973755,3.4587292671203613,0
1,38,36.68964695930481,3.899935007095337,0
1,39,36.73668932914734,3.582537889480591,0
1,40,36.58347201347351,3.2988743782043457,0
1,41,36.82270431518555,4.191402912139893,0
1,42,37.04300284385681,3.7046632766723633,0
1,43,37.42908430099487,3.76513671875,0
1,44,36.96079707145691,3.9058375358581543,0
1,45,37.06415390968323,3.9105608463287354,0
1,46,37.02939224243164,3.537189245223999,0
1,47,37.3263680934906,3.7396512031555176,0
1,48,36.89202380180359,3.426403760910034,0
1,49,37.151928424835205,3.564527988433838,0
1,0,13.711700677871704,3.241159677505493,1
1,1,13.455044031143188,3.288193941116333,1
1,2,13.424269914627075,3.086235523223877,1
1,3,13.436813592910767,3.136944532394409,1
1,4,13.429924726486206,3.1088128089904785,1
1,5,13.429456233978271,3.0852646827697754,1
1,6,13.468993186950684,3.151160717010498,1
1,7,13.439362049102783,3.219205617904663,1
1,8,13.450440406799316,2.925647497177124,1
1,9,13.452274560928345,3.1603217124938965,1
