epoch,batch,batch_time(s),loss,phase
0,0,19.295310497283936,-1,0
0,1,18.987555980682373,-1,0
0,2,19.198331594467163,-1,0
0,3,19.000910997390747,-1,0
0,4,18.95759916305542,-1,0
0,5,18.983991384506226,-1,0
0,6,19.03179097175598,-1,0
0,7,18.97948169708252,-1,0
0,8,18.986619472503662,-1,0
0,9,18.957303762435913,-1,0
0,10,19.01279377937317,-1,0
0,11,18.914684295654297,-1,0
0,12,19.054889678955078,-1,0
0,13,19.01321244239807,-1,0
0,14,18.895121097564697,-1,0
0,15,18.93717908859253,-1,0
0,16,19.04751420021057,-1,0
0,17,18.90026021003723,-1,0
0,18,19.043970584869385,-1,0
0,19,18.90981125831604,-1,0
0,20,19.037600994110107,-1,0
0,21,18.969357013702393,-1,0
0,22,19.01846408843994,-1,0
0,23,18.969668865203857,-1,0
0,24,19.059014081954956,-1,0
0,0,7.474180221557617,-1,1
0,1,7.124988794326782,-1,1
0,2,7.149339914321899,-1,1
0,3,7.216512203216553,-1,1
0,4,7.108743190765381,-1,1
1,0,19.412941217422485,-1,0
1,1,18.97643232345581,-1,0
1,2,18.971847772598267,-1,0
1,3,18.932172060012817,-1,0
1,4,19.052857398986816,-1,0
1,5,18.838212251663208,-1,0
1,6,18.97512936592102,-1,0
1,7,18.967888355255127,-1,0
1,8,19.012463092803955,-1,0
1,9,18.988917589187622,-1,0
1,10,18.929107189178467,-1,0
1,11,18.95190453529358,-1,0
1,12,18.917378187179565,-1,0
1,13,19.00918984413147,-1,0
1,14,18.897273778915405,-1,0
1,15,19.082171201705933,-1,0
1,16,18.916579246520996,-1,0
1,17,18.95934510231018,-1,0
1,18,18.92735767364502,-1,0
1,19,18.927996397018433,-1,0
1,20,18.921141862869263,-1,0
1,21,18.98057198524475,-1,0
1,22,18.93440341949463,-1,0
1,23,18.900768280029297,-1,0
1,24,18.93812608718872,-1,0
1,0,7.501688003540039,-1,1
1,1,7.129242658615112,-1,1
1,2,7.190941572189331,-1,1
1,3,7.148193836212158,-1,1
1,4,7.155027151107788,-1,1
