epoch,batch,batch_time(s),phase
0,0,23.386173009872437,0
0,1,29.066570520401,0
0,2,29.105335235595703,0
0,3,29.122908353805542,0
0,4,29.433704137802124,0
0,5,28.524083137512207,0
0,6,29.338247537612915,0
0,7,29.124990463256836,0
0,8,28.824227571487427,0
0,9,28.564775705337524,0
0,10,28.775198459625244,0
0,11,29.128644227981567,0
0,12,29.556185483932495,0
0,13,28.211339473724365,0
0,14,29.54928708076477,0
0,15,29.235699892044067,0
0,16,28.780763626098633,0
0,17,29.254488229751587,0
0,18,28.94754719734192,0
0,19,29.209681034088135,0
0,20,28.97037434577942,0
0,21,28.901050567626953,0
0,22,30.173407316207886,0
0,23,28.948286294937134,0
0,24,29.459670066833496,0
0,25,28.97409439086914,0
0,26,29.125112771987915,0
0,27,28.947623252868652,0
0,28,29.386044025421143,0
0,29,28.62376880645752,0
0,30,29.74806261062622,0
0,31,29.630000352859497,0
0,32,29.39635133743286,0
0,33,29.205726861953735,0
0,34,29.58010244369507,0
0,35,29.40534734725952,0
0,36,29.58234167098999,0
0,37,29.71931529045105,0
0,38,29.473472595214844,0
0,39,28.71683359146118,0
0,40,29.587443590164185,0
0,41,29.666820764541626,0
0,42,29.473189115524292,0
0,43,29.132805824279785,0
0,44,29.805802583694458,0
0,45,29.855040550231934,0
0,46,28.906938314437866,0
0,47,28.724534034729004,0
0,48,29.751837253570557,0
0,49,29.72761368751526,0
0,0,19.71048092842102,1
0,1,11.035606622695923,1
0,2,11.101506233215332,1
0,3,11.002761125564575,1
0,4,11.116774559020996,1
0,5,11.009464740753174,1
0,6,11.136445760726929,1
0,7,11.004607677459717,1
0,8,11.147976875305176,1
0,9,11.022170066833496,1
1,0,21.602703332901,0
1,1,29.257095336914062,0
1,2,29.45910930633545,0
1,3,29.808680534362793,0
1,4,28.914324283599854,0
1,5,29.540186405181885,0
1,6,29.753458499908447,0
1,7,29.565827131271362,0
1,8,28.714675664901733,0
1,9,30.154619693756104,0
1,10,29.132461071014404,0
1,11,29.325377225875854,0
1,12,29.911516666412354,0
1,13,29.33956265449524,0
1,14,29.1096510887146,0
1,15,29.736711740493774,0
1,16,29.522831678390503,0
1,17,29.56067395210266,0
1,18,29.31888699531555,0
1,19,28.996556758880615,0
1,20,29.19893765449524,0
1,21,29.365840435028076,0
1,22,29.480512619018555,0
1,23,29.953300952911377,0
1,24,29.551613092422485,0
1,25,29.822550058364868,0
1,26,29.188754558563232,0
1,27,29.60479426383972,0
1,28,29.572925567626953,0
1,29,29.193209171295166,0
1,30,29.10742497444153,0
1,31,29.204352378845215,0
1,32,29.9172306060791,0
1,33,29.43075394630432,0
1,34,29.722975730895996,0
1,35,29.34861993789673,0
1,36,29.255217790603638,0
1,37,29.175564289093018,0
1,38,30.295703649520874,0
1,39,29.081921100616455,0
1,40,29.648761987686157,0
1,41,29.07218360900879,0
1,42,30.005234479904175,0
1,43,28.993650674819946,0
1,44,29.68746852874756,0
1,45,28.79805874824524,0
1,46,30.32998251914978,0
1,47,29.212384462356567,0
1,48,29.166966915130615,0
1,49,29.74222755432129,0
1,0,19.071979522705078,1
1,1,11.00099229812622,1
1,2,11.10509181022644,1
1,3,11.05071473121643,1
1,4,11.153318643569946,1
1,5,11.005626678466797,1
1,6,11.119029521942139,1
1,7,11.02092981338501,1
1,8,11.058715581893921,1
1,9,11.035356521606445,1
